[map]
name,width,height
Tutorial 1,20,15

[nodes]
id,type,x,y,name,capacity
1,station,2,3,Coal Mine,2
2,station,18,12,Power Plant,2
3,junction,10,7,,1
4,platform,2,5,Mine Platform,2
5,depot,10,2,Yard,1
6,waypoint,5,10,,1
7,endpoint,18,3,North Siding,1

[edges]
from_id,to_id,cost,distance,capacity,direction,speed_limit
1,3,100,8.0,1,bidirectional,50
3,2,150,10.0,1,bidirectional,50
1,4,10,1.0,2,bidirectional,20
3,5,50,5.0,1,forward,40
1,6,80,6.0,1,forward,60
6,2,120,9.0,1,bidirectional,50
3,7,30,3.0,1,forward,30

[trains]
id,origin_id,destination_id,cargo,speed,spawn_tick,priority
1,1,2,coal,40,0,2
2,2,1,,50,5,1
